Ref,Val,Package,PosX,PosY,Rot,Side
"C3",".1u","C_0805_2012Metric",95.400000,-82.700000,270.000000,top
"C4",".01u","C_0805_2012Metric",92.800000,-115.700000,180.000000,top
"C5",".33u","C_0805_2012Metric",118.400000,-99.050000,180.000000,top
"C6",".1u","C_0805_2012Metric",114.600000,-99.000000,0.000000,top
"C7",".1u","C_0805_2012Metric",92.800000,-113.400000,180.000000,top
"C9",".1u","C_0805_2012Metric",107.300000,-118.500000,180.000000,top
"C10",".1u","C_0805_2012Metric",92.800000,-118.500000,0.000000,top
"C11",".47u","C_0805_2012Metric",106.400000,-112.400000,90.000000,top
"C12","1u","C_0805_2012Metric",90.300000,-97.000000,225.000000,top
"C13","1n","C_0805_2012Metric",88.700000,-95.300000,225.000000,top
"C14","1u","C_0805_2012Metric",92.100000,-85.500000,135.000000,top
"C15","10n","C_0805_2012Metric",90.500000,-87.100000,135.000000,top
"D4","LED","LED_1206_3216Metric",83.600000,-103.400000,180.000000,top
"D5","LED","LED_1206_3216Metric",83.600000,-98.700000,180.000000,top
"R5","1M","R_0805_2012Metric",92.812500,-111.200000,0.000000,top
"R6","10k","R_0805_2012Metric",108.100000,-89.400000,270.000000,top
"R7","10k","R_0805_2012Metric",110.300000,-89.400000,270.000000,top
"R8","0","R_0805_2012Metric",108.500000,-112.400000,270.000000,top
"R9","0","R_0805_2012Metric",110.600000,-112.400000,90.000000,top
"R10",".1","R_1206_3216Metric",96.700000,-121.500000,180.000000,top
"R11",".1","R_1206_3216Metric",103.300000,-121.600000,0.000000,top
"R12","5.1k","R_0805_2012Metric",78.700000,-105.700000,270.000000,top
"R13","820","R_0805_2012Metric",78.700000,-109.700000,270.000000,top
"R14","4.7k","R_0805_2012Metric",78.800000,-93.600000,270.000000,top
"R15","4.7k","R_0805_2012Metric",78.800000,-97.300000,270.000000,top
"R16","5.1K","R_0805_2012Metric",105.800000,-89.400000,90.000000,top
"R20","R","R_0805_2012Metric",83.600000,-101.100000,180.000000,top
"R21","R","R_0805_2012Metric",83.600000,-96.400000,180.000000,top
"U1","AVR32DA32","QFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm",94.928320,-92.571680,135.000000,top
"U2","DRV8825","HTSSOP-28-1EP_4.4x9.7mm_P0.65mm_EP2.85x5.4mm_ThermalVias",100.000000,-114.500000,90.000000,top
"U4","SN74LVC2G17DBVR","SOT-23-6_Handsoldering",100.100000,-82.700000,180.000000,top
"U5","UA78M33CKVURG3","TO-252-2",116.475000,-106.300000,270.000000,top
